Winners, Losers
Iowa State,Grambling
Weber State,Green Bay
Denver,Houston Baptist
Howard,William & Mary
Marshall,Jackson State
Southern Miss,Lamar
Indiana,Louisiana
Florida State,Loyola Marymount
Virginia Tech,Merrimack
Mississippi State,Morehead State
Navy,Furman
New Mexico State,Indiana State
Niagara,Youngstown State
Xavier,Norfolk State
Florida International,UNC Greensboro
UT-Martin,North Dakota
Northeastern,Southern Illinois
California Baptist,Northern Colorado
Boston University,Northern Illinois
Penn,Old Dominion
Princeton,Oregon State
Sam Houston State,Little Rock
Nebraska,Southern
St. Thomas (MN),SIU-Edwardsville
Missouri,SMU
Temple,Elon
South Dakota,Tennessee State
Texas A&M-Corpus Christi,UTSA
NC State,Texas Southern
Utah,Tulsa
Utah State,Oklahoma
Western Carolina,Longwood
Wichita State,UNLV
Gonzaga,Central Michigan
UCLA,Bellarmine
Duke,The Citadel
Kentucky,Albany (NY)
Houston,Butler
Arkansas,Kansas State
Cincinnati,Illinois
Ohio State,Seton Hall
Florida,California
USC,Dixie State
Fordham,Akron
Delaware,Appalachian State
Seattle,Arkansas-Pine Bluff
LSU,Belmont
Duquesne,Bradley
Colorado,Brown
Nicholls State,Cal Poly
UC-Riverside,UTEP
McNeese State,Carver College
Georgia Tech,Charleston Southern
Pacific,Chicago State
Oklahoma State,College of Charleston
Cal State Bakersfield,Colorado College
Colorado State,Northeastern
Cleveland State,Coppin State
Penn State,Cornell
Creighton,Southern Illinois
Tulane,Drexel
ETSU,Murray State
Eastern Kentucky,Eastern Illinois
Southeastern Louisiana,Ecclesia
Canisius,Fredonia State
Washington,George Mason
Siena,Harvard
Richmond,Hofstra
Kent State,James Madison
Lafayette,Rutgers
Loyola Marymount,SMU
Florida State,Missouri
Southeast Missouri State,Missouri Baptist University
Kansas City,Idaho State
Missouri State,Long Beach State
San Francisco,Morgan State
Ohio,Mount St. Mary's
South Dakota State,Nevada
Little Rock,Northern Illinois
Louisiana-Monroe,Northwestern State
